,content,tags,question
548,The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",What is the frequency range of the Philips L12-3 probe?
549,The Philips L12-3 probe has a variant with a cartridge connection.,"frozenset({'L12-3', 'connection', 'Philips', 'probes'})",Does the Philips L12-3 probe have a cartridge connection?
550,The Philips L12-3 probe has a variant with a cartridge connection.,"frozenset({'L12-3', 'connection', 'Philips', 'probes'})",What kind of connector does the Philips L12-3 transducer use?
551,The Philips L12-3 probe has a variant with a cartridge connection.,"frozenset({'L12-3', 'connection', 'Philips', 'probes'})",Is there a variant of the Philips L12-3 probe with a cartridge connection?
552,"The Philips L12-3 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'L12-3', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",What systems is the Philips L12-3 probe compatible with?
553,"The Philips L12-3 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'L12-3', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",Is the Philips L12-3 probe compatible with the CX50 system?
554,"The Philips L12-3 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'L12-3', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",Does the Philips L12-3 probe work with the EPIQ 5 system?
555,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",What kind of array type is the Philips L12-3?
556,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",Is the Philips L12-3 a linear array probe?
557,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",What type of transducer is the Philips L12-3?
558,"The Philips L12-3 probe is suitable for the following applications: vascular, musculoskeletal, breast, small parts.","frozenset({'L12-3', 'probes', 'vascular, musculoskeletal, breast, small parts', 'applications', 'Philips'})",What types of probes does the Philips L12-3 suit?
559,"The Philips L12-3 probe is suitable for the following applications: vascular, musculoskeletal, breast, small parts.","frozenset({'L12-3', 'probes', 'vascular, musculoskeletal, breast, small parts', 'applications', 'Philips'})",Can the Philips L12-3 probe be used for breast imaging?
560,"The Philips L12-3 probe is suitable for the following applications: vascular, musculoskeletal, breast, small parts.","frozenset({'L12-3', 'probes', 'vascular, musculoskeletal, breast, small parts', 'applications', 'Philips'})",Is the Philips L12-3 suitable for musculoskeletal applications?
561,The Philips L12-3 probe is currently in stock and available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Is the Philips L12-3 probe currently available for purchase?
562,The Philips L12-3 probe is currently in stock and available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Are there any Philips L12-3 probes in stock?
563,The Philips L12-3 probe is currently in stock and available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Can you buy a Philips L12-3 transducer?
564,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",What is the frequency range of the Philips L12-3 probe?
565,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",Is the frequency range of the Philips L12-3 transducer between 3.0 and 12.0 MHz?
566,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",What is the minimum to maximum frequency range of the Philips L12-3 probe?
567,The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",Who manufactures the L12-3 probe?
568,The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",Is the Philips L12-3 probe suitable for cardiac applications?
569,The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",What array type is the Philips L12-3 probe?
570,"The Philips L12-3 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE, HD15.","frozenset({'L12-3', 'iU22, iE33, HD11, HD11 XE, HD15', 'probes', 'compatibility', 'Philips'})",What systems is the Philips L12-3 probe compatible with?
571,"The Philips L12-3 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE, HD15.","frozenset({'L12-3', 'iU22, iE33, HD11, HD11 XE, HD15', 'probes', 'compatibility', 'Philips'})",Is the Philips L12-3 probe suitable for use on multiple ultrasound systems?
572,"The Philips L12-3 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE, HD15.","frozenset({'L12-3', 'iU22, iE33, HD11, HD11 XE, HD15', 'probes', 'compatibility', 'Philips'})",Which Philips systems support the L12-3 transducer?
573,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",What type of array probe is the Philips L12-3?
574,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",Is the Philips L12-3 probe a linear array transducer?
575,The Philips L12-3 is a linear array type probe.,"frozenset({'L12-3', 'array type', 'Philips', 'probes'})",What kind of array does the Philips L12-3 probe use?
576,"The Philips L12-3 probe is suitable for the following applications: vascular, small parts, musculoskeletal, superficial.","frozenset({'L12-3', 'vascular, small parts, musculoskeletal, superficial', 'probes', 'applications', 'Philips'})",What applications is the Philips L12-3 probe suitable for?
577,"The Philips L12-3 probe is suitable for the following applications: vascular, small parts, musculoskeletal, superficial.","frozenset({'L12-3', 'vascular, small parts, musculoskeletal, superficial', 'probes', 'applications', 'Philips'})",Is the Philips L12-3 probe suitable for musculoskeletal applications?
578,"The Philips L12-3 probe is suitable for the following applications: vascular, small parts, musculoskeletal, superficial.","frozenset({'L12-3', 'vascular, small parts, musculoskeletal, superficial', 'probes', 'applications', 'Philips'})",Can the Philips L12-3 probe be used for small parts imaging?
579,The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Is the Philips L12-3 probe available for sale?
580,The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Why is the Philips L12-3 probe not being sold?
581,The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Are there any L12-3 transducers currently in stock?
582,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",What is the frequency range of the Philips L12-3 probe?
583,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",Is the Philips L12-3 probe a convex array type transducer?
584,The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",Can the Philips L12-3 probe be used for general applications?
585,The manufacturer of the L15-7io probe is Philips.,"frozenset({'manufacturer', 'Philips', 'L15-7io', 'probes'})",Who is the manufacturer of the L15-7io probe?
586,The manufacturer of the L15-7io probe is Philips.,"frozenset({'manufacturer', 'Philips', 'L15-7io', 'probes'})",What is the manufacturer of the L15-7io probe's transducer?
587,The manufacturer of the L15-7io probe is Philips.,"frozenset({'manufacturer', 'Philips', 'L15-7io', 'probes'})",Is the L15-7io probe made by Philips?
588,The Philips L15-7io probe is compatible with the following systems: iU22.,"frozenset({'Philips', 'probes', 'compatibility', 'L15-7io', 'iU22'})",What systems is the Philips L15-7io probe compatible with?
589,The Philips L15-7io probe is compatible with the following systems: iU22.,"frozenset({'Philips', 'probes', 'compatibility', 'L15-7io', 'iU22'})",Is the Philips L15-7io probe suitable for use with the iU22 system?
590,The Philips L15-7io probe is compatible with the following systems: iU22.,"frozenset({'Philips', 'probes', 'compatibility', 'L15-7io', 'iU22'})",Which ultrasound machines is the Philips L15-7io probe designed to work with?
591,The Philips L15-7io is a linear array type probe.,"frozenset({'array type', 'Philips', 'L15-7io', 'probes'})",What type of array is the Philips L15-7io?
592,The Philips L15-7io is a linear array type probe.,"frozenset({'array type', 'Philips', 'L15-7io', 'probes'})",Is the Philips L15-7io a linear array probe?
593,The Philips L15-7io is a linear array type probe.,"frozenset({'array type', 'Philips', 'L15-7io', 'probes'})",What kind of transducer is the Philips L15-7io?
594,"The Philips L15-7io probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial, surgical.","frozenset({'probes', 'L15-7io', 'applications', 'Philips', 'vascular, musculoskeletal, small parts, superficial, surgical'})",What applications is the Philips L15-7io probe suitable for?
595,"The Philips L15-7io probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial, surgical.","frozenset({'probes', 'L15-7io', 'applications', 'Philips', 'vascular, musculoskeletal, small parts, superficial, surgical'})",Can the Philips L15-7io probe be used for musculoskeletal applications?
596,"The Philips L15-7io probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial, surgical.","frozenset({'probes', 'L15-7io', 'applications', 'Philips', 'vascular, musculoskeletal, small parts, superficial, surgical'})",What kind of procedures does the Philips L15-7io probe support?
597,The Philips L15-7io probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'L15-7io', 'probes'})",Is the Philips L15-7io probe currently in stock?
598,The Philips L15-7io probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'L15-7io', 'probes'})",Can you buy a Philips L15-7io probe from stock?
599,The Philips L15-7io probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'L15-7io', 'probes'})",Are there any Philips L15-7io transducers available for sale?
600,The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",What is the frequency range of the Philips L15-7io probe?
601,The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",Is the frequency range of the Philips L15-7io probe within the range of 7.0 - 15.0 MHz?
602,The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",What is the minimum and maximum frequency of the Philips L15-7io transducer?
603,The manufacturer of the L17-5 probe is Philips.,"frozenset({'manufacturer', 'L17-5', 'Philips', 'probes'})",Who is the manufacturer of the L17-5 probe?
604,The manufacturer of the L17-5 probe is Philips.,"frozenset({'manufacturer', 'L17-5', 'Philips', 'probes'})",Is the L17-5 probe made by Philips?
605,The manufacturer of the L17-5 probe is Philips.,"frozenset({'manufacturer', 'L17-5', 'Philips', 'probes'})",What company produces the L17-5 transducer?
606,The Philips L17-5 probe is compatible with the following systems: iU22.,"frozenset({'L17-5', 'Philips', 'probes', 'compatibility', 'iU22'})",What systems is the Philips L17-5 probe compatible with?
607,The Philips L17-5 probe is compatible with the following systems: iU22.,"frozenset({'L17-5', 'Philips', 'probes', 'compatibility', 'iU22'})",Is the Philips L17-5 probe compatible with the iU22 system?
608,The Philips L17-5 probe is compatible with the following systems: iU22.,"frozenset({'L17-5', 'Philips', 'probes', 'compatibility', 'iU22'})",Which systems does the Philips L17-5 transducer work with?
609,The Philips L17-5 is a linear array type probe.,"frozenset({'array type', 'L17-5', 'Philips', 'probes'})",What type of array is the Philips L17-5?
610,The Philips L17-5 is a linear array type probe.,"frozenset({'array type', 'L17-5', 'Philips', 'probes'})",Is the Philips L17-5 a transducer suitable for general imaging applications?
611,The Philips L17-5 is a linear array type probe.,"frozenset({'array type', 'L17-5', 'Philips', 'probes'})",Does the Philips L17-5 have a frequency range that falls within the linear array category?
612,"The Philips L17-5 probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial.","frozenset({'L17-5', 'vascular, musculoskeletal, small parts, superficial', 'probes', 'applications', 'Philips'})",What applications is the Philips L17-5 probe suitable for?
613,"The Philips L17-5 probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial.","frozenset({'L17-5', 'vascular, musculoskeletal, small parts, superficial', 'probes', 'applications', 'Philips'})",Can the Philips L17-5 probe be used for musculoskeletal applications?
614,"The Philips L17-5 probe is suitable for the following applications: vascular, musculoskeletal, small parts, superficial.","frozenset({'L17-5', 'vascular, musculoskeletal, small parts, superficial', 'probes', 'applications', 'Philips'})",Is the Philips L17-5 probe appropriate for small parts imaging?
615,The Philips L17-5 probe is currently in stock and available for sale.,"frozenset({'stock', 'L17-5', 'Philips', 'probes'})",Is the Philips L17-5 probe currently in stock?
616,The Philips L17-5 probe is currently in stock and available for sale.,"frozenset({'stock', 'L17-5', 'Philips', 'probes'})",Can you buy the Philips L17-5 transducer?
617,The Philips L17-5 probe is currently in stock and available for sale.,"frozenset({'stock', 'L17-5', 'Philips', 'probes'})",Are there any Philips L17-5 probes available for sale?
618,The frequency range of the Philips L17-5 probe is 5.0 - 17.0 MHz.,"frozenset({'frequency', 'L17-5', 'Philips', 'probes'})",What is the frequency range of the Philips L17-5 probe?
619,The frequency range of the Philips L17-5 probe is 5.0 - 17.0 MHz.,"frozenset({'frequency', 'L17-5', 'Philips', 'probes'})",Is the minimum frequency range of the Philips L17-5 probe 5.0 MHz?
620,The frequency range of the Philips L17-5 probe is 5.0 - 17.0 MHz.,"frozenset({'frequency', 'L17-5', 'Philips', 'probes'})",What is the maximum frequency range of the Philips L17-5 transducer?
621,The manufacturer of the S4-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'S4-1', 'probes'})",Who is the manufacturer of the S4-1 probe?
622,The manufacturer of the S4-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'S4-1', 'probes'})",Is the S4-1 probe made by a company other than ATL?
623,The manufacturer of the S4-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'S4-1', 'probes'})",Is the manufacturer of the S4-1 probe different from the manufacturer of the C3 probe?
624,"The Philips S4-1 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE.","frozenset({'S4-1', 'probes', 'compatibility', 'iU22, iE33, HD11, HD11 XE', 'Philips'})",What systems is the Philips S4-1 probe compatible with?
625,"The Philips S4-1 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE.","frozenset({'S4-1', 'probes', 'compatibility', 'iU22, iE33, HD11, HD11 XE', 'Philips'})",Is the Philips S4-1 probe suitable for use with the iU22 system?
626,"The Philips S4-1 probe is compatible with the following systems: iU22, iE33, HD11, HD11 XE.","frozenset({'S4-1', 'probes', 'compatibility', 'iU22, iE33, HD11, HD11 XE', 'Philips'})",Does the Philips S4-1 probe work with the HD11 XE system?
627,The Philips S4-1 is a sector array type probe.,"frozenset({'array type', 'Philips', 'S4-1', 'probes'})",What kind of array type is the Philips S4-1?
628,The Philips S4-1 is a sector array type probe.,"frozenset({'array type', 'Philips', 'S4-1', 'probes'})",Is the Philips S4-1 probe a sector array probe?
629,The Philips S4-1 is a sector array type probe.,"frozenset({'array type', 'Philips', 'S4-1', 'probes'})",What type of transducer is the Philips S4-1?
630,"The Philips S4-1 probe is suitable for the following applications: cardiac, abdominal, transcranial.","frozenset({'cardiac, abdominal, transcranial', 'S4-1', 'probes', 'applications', 'Philips'})",What applications is the Philips S4-1 probe suitable for?
631,"The Philips S4-1 probe is suitable for the following applications: cardiac, abdominal, transcranial.","frozenset({'cardiac, abdominal, transcranial', 'S4-1', 'probes', 'applications', 'Philips'})",Can the Philips S4-1 probe be used for transcranial applications?
632,"The Philips S4-1 probe is suitable for the following applications: cardiac, abdominal, transcranial.","frozenset({'cardiac, abdominal, transcranial', 'S4-1', 'probes', 'applications', 'Philips'})",Is the Philips S4-1 probe appropriate for abdominal applications?
633,The Philips S4-1 probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'S4-1', 'probes'})",Is the Philips S4-1 probe currently available for purchase?
634,The Philips S4-1 probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'S4-1', 'probes'})",Can you buy the Philips S4-1 probe from your current inventory?
635,The Philips S4-1 probe is currently in stock and available for sale.,"frozenset({'stock', 'Philips', 'S4-1', 'probes'})",Are there any Philips S4-1 transducers in stock and ready to sell?
636,The frequency range of the Philips S4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'frequency', 'Philips', 'S4-1', 'probes'})",What is the frequency range of the Philips S4-1 probe?
637,The frequency range of the Philips S4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'frequency', 'Philips', 'S4-1', 'probes'})",Is the frequency range of the Philips S4-1 probe within the range of 1.0 to 4.0 MHz?
638,The frequency range of the Philips S4-1 probe is 1.0 - 4.0 MHz.,"frozenset({'frequency', 'Philips', 'S4-1', 'probes'})",Does the Philips S4-1 probe operate within a frequency range between 1.0 and 4.0 MHz?
639,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Who is the manufacturer of the S4-2 probe?
640,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 probe made by a well-known ultrasound equipment brand?
641,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Who makes the transducer for the S4-2 probe?
642,The Philips S4-2 probe has a variant with a cartridge connection.,"frozenset({'S4-2', 'Philips', 'connection', 'probes'})",Does the Philips S4-2 probe have a cartridge connection?
643,The Philips S4-2 probe has a variant with a cartridge connection.,"frozenset({'S4-2', 'Philips', 'connection', 'probes'})",What kind of connector does the Philips S4-2 transducer use?
644,The Philips S4-2 probe has a variant with a cartridge connection.,"frozenset({'S4-2', 'Philips', 'connection', 'probes'})",Does the Philips S4-2 probe use a cartridge connector?
645,"The Philips S4-2 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'S4-2', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",What systems is the Philips S4-2 probe compatible with?
646,"The Philips S4-2 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'S4-2', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",Is the Philips S4-2 probe suitable for use with the EPIQ 5 system?
647,"The Philips S4-2 probe is compatible with the following systems: EPIQ 5, EPIQ 7, CX50, Affiniti 70.","frozenset({'S4-2', 'probes', 'compatibility', 'Philips', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70'})",Does the Philips S4-2 transducer work with the CX50 system?
648,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",What type of array is the Philips S4-2?
649,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 a sector array probe?
650,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",What kind of transducer is the Philips S4-2?
651,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal, pediatric, transcranial.","frozenset({'S4-2', 'cardiac, abdominal, pediatric, transcranial', 'probes', 'applications', 'Philips'})",What kind of applications is the Philips S4-2 probe suitable for?
652,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal, pediatric, transcranial.","frozenset({'S4-2', 'cardiac, abdominal, pediatric, transcranial', 'probes', 'applications', 'Philips'})",Can the Philips S4-2 probe be used for pediatric applications?
653,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal, pediatric, transcranial.","frozenset({'S4-2', 'cardiac, abdominal, pediatric, transcranial', 'probes', 'applications', 'Philips'})",Is the Philips S4-2 probe suitable for transcranial imaging?
654,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 probe currently available for sale?
655,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",What is the current availability status of the Philips S4-2 probe?
656,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Are there any Philips S4-2 probes in stock?
657,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the frequency range of the Philips S4-2 probe?
658,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",Is the frequency range of the Philips S4-2 transducer within a certain range?
659,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the minimum frequency of the Philips S4-2 probe?
660,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Who manufactures the S4-2 probe?
661,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Is Philips the manufacturer of the S4-2 transducer?
662,The manufacturer of the S4-2 probe is Philips.,"frozenset({'manufacturer', 'S4-2', 'Philips', 'probes'})",Does the S4-2 probe come from Philips?
663,"The Philips S4-2 probe is compatible with the following systems: iU22, iE33, HD11 XE, HD15, HD9.","frozenset({'S4-2', 'iU22, iE33, HD11 XE, HD15, HD9', 'probes', 'compatibility', 'Philips'})",What systems is the Philips S4-2 probe compatible with?
664,"The Philips S4-2 probe is compatible with the following systems: iU22, iE33, HD11 XE, HD15, HD9.","frozenset({'S4-2', 'iU22, iE33, HD11 XE, HD15, HD9', 'probes', 'compatibility', 'Philips'})",Does the Philips S4-2 probe work with the iU22 system?
665,"The Philips S4-2 probe is compatible with the following systems: iU22, iE33, HD11 XE, HD15, HD9.","frozenset({'S4-2', 'iU22, iE33, HD11 XE, HD15, HD9', 'probes', 'compatibility', 'Philips'})",Is the Philips S4-2 transducer compatible with the HD11 XE system?
666,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",What type of array is the Philips S4-2?
667,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 a convex or sector array probe?
668,The Philips S4-2 is a sector array type probe.,"frozenset({'array type', 'S4-2', 'Philips', 'probes'})",What kind of transducer is the Philips S4-2?
669,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'S4-2', 'probes', 'applications', 'cardiac, abdominal', 'Philips'})",What applications is the Philips S4-2 probe suitable for?
670,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'S4-2', 'probes', 'applications', 'cardiac, abdominal', 'Philips'})",Can the Philips S4-2 probe be used for abdominal imaging?
671,"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal.","frozenset({'S4-2', 'probes', 'applications', 'cardiac, abdominal', 'Philips'})",Is the Philips S4-2 probe used in cardiac and abdominal applications?
672,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 probe currently available for sale?
673,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",What is the current availability status of the Philips S4-2 transducer?
674,The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Do you have any Philips S4-2 probes in stock?
675,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the frequency range of the Philips S4-2 probe?
676,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",Is the frequency range of the Philips S4-2 transducer between 2 and 4 MHz?
677,The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the minimum and maximum frequency range of the Philips S4-2 probe?
678,The manufacturer of the 10V4 probe is Siemens Acuson.,"frozenset({'manufacturer', '10V4', 'Siemens Acuson', 'probes'})",Who is the manufacturer of the 10V4 probe?
679,The manufacturer of the 10V4 probe is Siemens Acuson.,"frozenset({'manufacturer', '10V4', 'Siemens Acuson', 'probes'})",What is the frequency range of the Siemens Acuson 10V4 probe?
680,The manufacturer of the 10V4 probe is Siemens Acuson.,"frozenset({'manufacturer', '10V4', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 10V4 probe made by its own manufacturing company?
681,"The Siemens Acuson 10V4 probe is compatible with the following systems: S1000, S2000, S3000.","frozenset({'Siemens Acuson', 'probes', 'compatibility', '10V4', 'S1000, S2000, S3000'})",What systems is the Siemens Acuson 10V4 probe compatible with?
682,"The Siemens Acuson 10V4 probe is compatible with the following systems: S1000, S2000, S3000.","frozenset({'Siemens Acuson', 'probes', 'compatibility', '10V4', 'S1000, S2000, S3000'})",Is the Siemens Acuson 10V4 probe suitable for use with the S1000 system?
683,"The Siemens Acuson 10V4 probe is compatible with the following systems: S1000, S2000, S3000.","frozenset({'Siemens Acuson', 'probes', 'compatibility', '10V4', 'S1000, S2000, S3000'})",Does the Siemens Acuson 10V4 probe work with the S2000 system?
684,The Siemens Acuson 10V4 is a vector array type probe.,"frozenset({'array type', '10V4', 'Siemens Acuson', 'probes'})",What kind of array type is the Siemens Acuson 10V4?
685,The Siemens Acuson 10V4 is a vector array type probe.,"frozenset({'array type', '10V4', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 10V4 a vector array probe?
686,The Siemens Acuson 10V4 is a vector array type probe.,"frozenset({'array type', '10V4', 'Siemens Acuson', 'probes'})",What type of transducer is the Siemens Acuson 10V4?
687,"The Siemens Acuson 10V4 probe is suitable for the following applications: fetal, pediatric, abdominal, cardiac.","frozenset({'fetal, pediatric, abdominal, cardiac', 'Siemens Acuson', 'probes', '10V4', 'applications'})",What applications is the Siemens Acuson 10V4 probe suitable for?
688,"The Siemens Acuson 10V4 probe is suitable for the following applications: fetal, pediatric, abdominal, cardiac.","frozenset({'fetal, pediatric, abdominal, cardiac', 'Siemens Acuson', 'probes', '10V4', 'applications'})",Can the Siemens Acuson 10V4 probe be used in pediatric applications?
689,"The Siemens Acuson 10V4 probe is suitable for the following applications: fetal, pediatric, abdominal, cardiac.","frozenset({'fetal, pediatric, abdominal, cardiac', 'Siemens Acuson', 'probes', '10V4', 'applications'})",Is the Siemens Acuson 10V4 probe designed for fetal imaging?
690,The Siemens Acuson 10V4 probe is currently in stock and available for sale.,"frozenset({'stock', '10V4', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 10V4 probe currently available for purchase?
691,The Siemens Acuson 10V4 probe is currently in stock and available for sale.,"frozenset({'stock', '10V4', 'Siemens Acuson', 'probes'})",What is the current availability of the Siemens Acuson 10V4 transducer?
692,The Siemens Acuson 10V4 probe is currently in stock and available for sale.,"frozenset({'stock', '10V4', 'Siemens Acuson', 'probes'})",Can you buy the Siemens Acuson 10V4 probe right now?
693,The frequency range of the Siemens Acuson 10V4 probe is 4.0 - 10.0 MHz.,"frozenset({'frequency', '10V4', 'Siemens Acuson', 'probes'})",What is the frequency range of the Siemens Acuson 10V4 probe?
694,The frequency range of the Siemens Acuson 10V4 probe is 4.0 - 10.0 MHz.,"frozenset({'frequency', '10V4', 'Siemens Acuson', 'probes'})",Is the frequency range of the Siemens Acuson 10V4 transducer within a specific range?
695,The frequency range of the Siemens Acuson 10V4 probe is 4.0 - 10.0 MHz.,"frozenset({'frequency', '10V4', 'Siemens Acuson', 'probes'})",What is the minimum and maximum frequency range of the Siemens Acuson 10V4 probe?
696,The manufacturer of the 12L3 probe is Siemens Acuson.,"frozenset({'manufacturer', '12L3', 'Siemens Acuson', 'probes'})",Who is the manufacturer of the 12L3 probe?
